site_id,name,address,point_x,point_y,site_use,status_id,drain_acres,imp_percent,imp_acres,an_runoff,retro_type_id,bmp_type_ids,feasibility_id,dsgn_dfclt_id,wtrshd_bft_id,priority_id,source_ids
87,,wood heights ave and la plata ave,-76.6467323,39.34053943,wooded stormwater wetland to treat stormwater runoff from upstream drainage area,2,10,40,4,562577.4,2,12,3,4,4,3,7
88,,baltimore city public works yard falls rd s of 28th st,-76.62597845,39.3172282,,2,0,0,0,0,,,,,,,7
89,,memorial stadium,-76.60143374,39.33007714,,2,0,0,0,0,,,,,,,7
90,,john eager howard elementary school,-76.63289727,39.31196465,,2,0,0,0,0,,,,,,,7
91,,baltimore city community college reisterstown plaza center,-76.69622209,39.35842276,,2,0,0,0,0,,9,,,,,7
92,,falls rd and hillside rd,-76.64099358,39.35092151,,2,0,0,0,0,,,,,,,7
93,,patterson park adjunct,-76.57447296,39.2881642,dry swale in existing landscaping area at toe of slope to treat stormwater runoff from disturbed pervious area,2,11.9,5,0.595,155120.427,2,4,4,3,3,4,7
94,,unnamed park at orleans st and ellwood ave,-76.57483551,39.29553286,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
95,,unnamed park at orleans st and ellwood ave,-76.57454475,39.29640828,dry swale/bioretention area in existing open space area to treat stormwater runoff from disturbed pervious area,2,2.4,5,0.12,31284.792,1,"1, 16",4,3,1,3,7
96,,unnamed park at orleans st and ellwood ave,-76.57475402,39.29717432,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
97,,industrial site at edison hwy and madison st,-76.57021015,39.30110737,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
